区,1,2,3,4,5
千代田区,6.6,8.7,16.7,23.8,31.3
中央区,8.2,9.5,14.3,18.6,23.2
港区,7.5,9.6,17.5,24.5,31.9
新宿区,7.5,8.9,14.3,19.1,24.2
文京区,7.7,8.8,13.2,17,21.1
台東区,7.8,8.7,12.4,15.6,19
墨田区,7.2,8.1,11.5,14.4,17.6
江東区,7.3,8.2,11.9,15.2,18.6
品川区,7.8,8.9,13.1,16.9,20.8
目黒区,7.7,8.9,13.5,17.5,21.8
大田区,6.7,7.6,10.8,13.6,16.6
世田谷区,7,8,11.6,14.9,18.3
渋谷区,7.8,9.5,16.2,22.1,28.4
中野区,7.5,8.2,11.2,13.8,16.5
杉並区,6.8,7.6,10.9,13.8,16.9
豊島区,6.9,8,12.1,15.7,19.5
北区,6.4,7.2,10.4,13.1,16.1
荒川区,6.8,7.5,10.4,13,15.7
板橋区,6.2,6.8,9.3,11.4,13.8
練馬区,6.1,6.7,9.2,11.4,13.7
足立区,5.8,6.3,8.3,10.1,11.9
葛飾区,5.7,6.2,8,9.6,11.3
江戸川区,5.6,6.2,8.4,10.3,12.4
