CKAA,SA,項目,,居住住宅タイプ,あなたの現在のお住まいは、次のどれにあてはまりますか。あなたの現在の「お住まい」についておうかがいします。
CKAA,SA,選択肢,1,持家一戸建（土地も所有）,持家一戸建（土地も所有）
CKAA,SA,選択肢,2,持家一戸建（土地は借地）,持家一戸建（土地は借地）
CKAA,SA,選択肢,3,分譲マンション,分譲マンション
CKAA,SA,選択肢,4,借家一戸建,借家一戸建
CKAA,SA,選択肢,5,賃貸マンション・アパート,賃貸マンション・アパート
CKAA,SA,選択肢,6,社宅・寮,社宅・寮
CKAA,SA,選択肢,7,その他（間借りなど）,その他（間借りなど）
CKAA,SA,選択肢,8,不明,不明
CEAB_29,SA,項目,,いまの生活に満足している,いまの生活に満足している
CEAB,ﾙｰﾌﾟ(SA),選択肢,1,非常にあてはまる,非常にあてはまる
CEAB,ﾙｰﾌﾟ(SA),選択肢,2,ややあてはまる,ややあてはまる
CEAB,ﾙｰﾌﾟ(SA),選択肢,3,あまりあてはまらない,あまりあてはまらない
CEAB,ﾙｰﾌﾟ(SA),選択肢,4,全くあてはまらない,全くあてはまらない
CEAB,ﾙｰﾌﾟ(SA),選択肢,5,不明,不明
CEAL,SA,項目,,幸福度,現在、あなた自身はどの程度幸せですか。「とても幸せ」を10点、「とても不幸せ」を0点とすると、何点くらいになると思いますか。
CEAL,SA,選択肢,1,とても不幸せ 0(0),とても不幸せ 0
CEAL,SA,選択肢,2,1(1),1
CEAL,SA,選択肢,3,2(2),2
CEAL,SA,選択肢,4,3(3),3
CEAL,SA,選択肢,5,4(4),4
CEAL,SA,選択肢,6,5(5),5
CEAL,SA,選択肢,7,6(6),6
CEAL,SA,選択肢,8,7(7),7
CEAL,SA,選択肢,9,8(8),8
CEAL,SA,選択肢,10,9(9),9
CEAL,SA,選択肢,11,とても幸せ 10(10),とても幸せ 10
CEAL,SA,選択肢,12,不明,不明
AAF3_1,SA,項目,,＊居住エリア,
AAF3_1,SA,選択肢,1,関東,
AAF3_1,SA,選択肢,2,関西,
AAF3_1,SA,選択肢,3,不明,
CKAB,SA,項目,,住宅の広さ【ベース：20歳以上】,あなたのお宅の広さ（のべ床面積）をお知らせください。
CKAB,SA,選択肢,1,15坪未満（約50m2未満）,15坪未満（約50m2未満）
CKAB,SA,選択肢,2,15～20坪未満（約50～65m2未満）,15～20坪未満（約50～65m2未満）
CKAB,SA,選択肢,3,20～25坪未満（約65～80m2未満）,20～25坪未満（約65～80m2未満）
CKAB,SA,選択肢,4,25～30坪未満（約80～100m2未満）,25～30坪未満（約80～100m2未満）
CKAB,SA,選択肢,5,30～35坪未満（約100～115m2未満）,30～35坪未満（約100～115m2未満）
CKAB,SA,選択肢,6,35～40坪未満（約115～130m2未満）,35～40坪未満（約115～130m2未満）
CKAB,SA,選択肢,7,40～45坪未満（約130～150m2未満）,40～45坪未満（約130～150m2未満）
CKAB,SA,選択肢,8,45～50坪未満（約150～165m2未満）,45～50坪未満（約150～165m2未満）
CKAB,SA,選択肢,9,50坪以上（約165m2以上）,50坪以上（約165m2以上）
CKAB,SA,選択肢,10,分からない,分からない
CKAB,SA,選択肢,11,不明,不明
CKAC,ﾙｰﾌﾟ(MA),項目,,住宅設備(MA)【ベース：20歳以上】,それぞれの機能・設備について、あなたのお宅にあてはまるものをお知らせください。
CKAC(1),MA,項目,,あなたご自身が現在（ふだん）お使いになっている,あなたご自身が現在（ふだん）お使いになっている
CKAC(2),MA,項目,,あなたご自身が1年以内に購入したい,あなたご自身が1年以内に購入したい
CKAC(3),MA,項目,,あなたご自身が将来的には欲しい,あなたご自身が将来的には欲しい
CKAC,ﾙｰﾌﾟ(MA),選択肢,1,エコキュート（ヒートポンプ式電気給湯器）,エコキュート（ヒートポンプ式電気給湯器）
CKAC,ﾙｰﾌﾟ(MA),選択肢,2,エコジョーズ（潜熱回収型高効率ガス給湯器）,エコジョーズ（潜熱回収型高効率ガス給湯器）
CKAC,ﾙｰﾌﾟ(MA),選択肢,3,エコウィル（ガスコージェネレーションシステム）,エコウィル（ガスコージェネレーションシステム）
CKAC,ﾙｰﾌﾟ(MA),選択肢,4,エネファーム（家庭用燃料電池コージェネレーションシステム）,エネファーム（家庭用燃料電池コージェネレーションシステム）
CKAC,ﾙｰﾌﾟ(MA),選択肢,5,太陽光発電,太陽光発電
CKAC,ﾙｰﾌﾟ(MA),選択肢,6,HEMS（ホーム エネルギー マネジメント システム）,HEMS（ホーム エネルギー マネジメント システム）
CKAC,ﾙｰﾌﾟ(MA),選択肢,7,EV（電気自動車）充電設備,EV（電気自動車）充電設備
CKAC,ﾙｰﾌﾟ(MA),選択肢,8,オール電化,オール電化
CKAC,ﾙｰﾌﾟ(MA),選択肢,9,IHクッキングヒーター,IHクッキングヒーター
CKAC,ﾙｰﾌﾟ(MA),選択肢,10,浴室乾燥機,浴室乾燥機
CKAC,ﾙｰﾌﾟ(MA),選択肢,11,浴室サウナ,浴室サウナ
CKAC,ﾙｰﾌﾟ(MA),選択肢,12,床暖房,床暖房
CKAC,ﾙｰﾌﾟ(MA),選択肢,13,バリアフリー設計,バリアフリー設計
CKAC,ﾙｰﾌﾟ(MA),選択肢,14,省エネ・断熱設計,省エネ・断熱設計
CKAC,ﾙｰﾌﾟ(MA),選択肢,15,ウッドデッキ,ウッドデッキ
CKAC,ﾙｰﾌﾟ(MA),選択肢,16,その他,その他
CKAC,ﾙｰﾌﾟ(MA),選択肢,17,この中にはない,この中にはない
CKAC,ﾙｰﾌﾟ(MA),選択肢,18,不明,不明
IAAA_E,SA,項目,,（東）居住エリア,あなたがお住まいのエリアは、次のどれにあてはまりますか。あなたご自身についておうかがいします。
IAAA_E,SA,選択肢,1,千代田区,千代田区
IAAA_E,SA,選択肢,2,中央区,中央区
IAAA_E,SA,選択肢,3,港区,港区
IAAA_E,SA,選択肢,4,新宿区,新宿区
IAAA_E,SA,選択肢,5,文京区,文京区
IAAA_E,SA,選択肢,6,台東区,台東区
IAAA_E,SA,選択肢,7,墨田区,墨田区
IAAA_E,SA,選択肢,8,江東区,江東区
IAAA_E,SA,選択肢,9,品川区,品川区
IAAA_E,SA,選択肢,10,目黒区,目黒区
IAAA_E,SA,選択肢,11,大田区,大田区
IAAA_E,SA,選択肢,12,世田谷区,世田谷区
IAAA_E,SA,選択肢,13,渋谷区,渋谷区
IAAA_E,SA,選択肢,14,中野区,中野区
IAAA_E,SA,選択肢,15,杉並区,杉並区
IAAA_E,SA,選択肢,16,豊島区,豊島区
IAAA_E,SA,選択肢,17,北区,北区
IAAA_E,SA,選択肢,18,荒川区,荒川区
IAAA_E,SA,選択肢,19,板橋区,板橋区
IAAA_E,SA,選択肢,20,練馬区,練馬区
IAAA_E,SA,選択肢,21,足立区,足立区
IAAA_E,SA,選択肢,22,葛飾区,葛飾区
IAAA_E,SA,選択肢,23,江戸川区,江戸川区
IAAA_E,SA,選択肢,24,その他の東京都（市町村部）,その他の東京都（市町村部）
IAAA_E,SA,選択肢,25,横浜市,横浜市
IAAA_E,SA,選択肢,26,川崎市,川崎市
IAAA_E,SA,選択肢,27,その他の神奈川県,その他の神奈川県
IAAA_E,SA,選択肢,28,千葉市,千葉市
IAAA_E,SA,選択肢,29,その他の千葉県,その他の千葉県
IAAA_E,SA,選択肢,30,さいたま市,さいたま市
IAAA_E,SA,選択肢,31,その他の埼玉県,その他の埼玉県
IAAA_E,SA,選択肢,32,水戸市,水戸市
IAAA_E,SA,選択肢,33,その他の茨城県,その他の茨城県
IAAA_E,SA,選択肢,34,宇都宮市,宇都宮市
IAAA_E,SA,選択肢,35,その他の栃木県,その他の栃木県
IAAA_E,SA,選択肢,36,前橋市,前橋市
IAAA_E,SA,選択肢,37,高崎市,高崎市
IAAA_E,SA,選択肢,38,その他の群馬県,その他の群馬県
IAAA_E,SA,選択肢,39,不明,不明
CKAA,SA,項目,,居住住宅タイプ,あなたの現在のお住まいは、次のどれにあてはまりますか。あなたの現在の「お住まい」についておうかがいします。
CKAA,SA,選択肢,1,持家一戸建（土地も所有）,持家一戸建（土地も所有）
CKAA,SA,選択肢,2,持家一戸建（土地は借地）,持家一戸建（土地は借地）
CKAA,SA,選択肢,3,分譲マンション,分譲マンション
CKAA,SA,選択肢,4,借家一戸建,借家一戸建
CKAA,SA,選択肢,5,賃貸マンション・アパート,賃貸マンション・アパート
CKAA,SA,選択肢,6,社宅・寮,社宅・寮
CKAA,SA,選択肢,7,その他（間借りなど）,その他（間借りなど）
CKAA,SA,選択肢,8,不明,不明
CKAF,ﾙｰﾌﾟ(SA),項目,,くらし観（TS）【ベース：20歳以上】,あなたは、以下にあげる「住まいや住宅・住環境に関する考え方や意見、行動」などに、どの程度あてはまりますか。あてはまる程度をお知らせください。
CKAF_1,SA,項目,,賃貸よりも、持ち家を購入する方がよいと思う,賃貸よりも、持ち家を購入する方がよいと思う
CKAF_2,SA,項目,,集合住宅（マンションなど）よりも、一戸建てに住む方がよいと思う,集合住宅（マンションなど）よりも、一戸建てに住む方がよいと思う
CKAF_3,SA,項目,,住宅を購入するなら、マンションよりも、一戸建ての方がよいと思う,住宅を購入するなら、マンションよりも、一戸建ての方がよいと思う
CKAF_4,SA,項目,,住宅にとって大切なのは、なによりも資産価値だ,住宅にとって大切なのは、なによりも資産価値だ
CKAF_5,SA,項目,,将来、資産価値が落ちない物件を選びたい,将来、資産価値が落ちない物件を選びたい
CKAF_6,SA,項目,,生まれ育った地に住み続けたい,生まれ育った地に住み続けたい
CKAF_7,SA,項目,,長年住み続けても、古くさく感じない外観デザインであることが大切だ,長年住み続けても、古くさく感じない外観デザインであることが大切だ
CKAF_8,SA,項目,,どのような家に住んでいるかは、自分らしさを表現するのに重要だと思う,どのような家に住んでいるかは、自分らしさを表現するのに重要だと思う
CKAF_9,SA,項目,,住宅は、高級感が感じられることが大切だ,住宅は、高級感が感じられることが大切だ
CKAF_10,SA,項目,,住替えや引越しなどが好きな方だ,住替えや引越しなどが好きな方だ
CKAF_11,SA,項目,,親（あるいは子）と同居したい,親（あるいは子）と同居したい
CKAF_12,SA,項目,,緑や自然に囲まれた地域で暮らしたい,緑や自然に囲まれた地域で暮らしたい
CKAF_13,SA,項目,,活気あふれる都市部で暮らしたい,活気あふれる都市部で暮らしたい
CKAF_14,SA,項目,,育児や子育てがしやすい立地であることが大切だ,育児や子育てがしやすい立地であることが大切だ
CKAF_15,SA,項目,,買い物に便利な立地であることが大切だ,買い物に便利な立地であることが大切だ
CKAF_16,SA,項目,,通勤や通学に便利な立地であることが大切だ,通勤や通学に便利な立地であることが大切だ
CKAF_17,SA,項目,,部屋の模様替えや、家具の買い替えなどが好きな方だ,部屋の模様替えや、家具の買い替えなどが好きな方だ
CKAF_18,SA,項目,,シェアハウスなど複数世帯での共同生活に抵抗はない,シェアハウスなど複数世帯での共同生活に抵抗はない
CKAF_19,SA,項目,,家庭環境は子どもの人生に大きく影響すると思う,家庭環境は子どもの人生に大きく影響すると思う
CKAF_20,SA,項目,,子どもの教育には、多少無理をしてでもお金をかけるべきだと思う,子どもの教育には、多少無理をしてでもお金をかけるべきだと思う
CKAF_21,SA,項目,,休みの日には家族そろって出かける,休みの日には家族そろって出かける
CKAF_22,SA,項目,,休日にはそろって出かけるような、仲の良い家族が望ましい,休日にはそろって出かけるような、仲の良い家族が望ましい
CKAF_23,SA,項目,,家族は、それぞれ適度な距離感を保ちながら生活するのが望ましい,家族は、それぞれ適度な距離感を保ちながら生活するのが望ましい
CKAF_24,SA,項目,,家族と過ごす時間をなるべく多くしたい,家族と過ごす時間をなるべく多くしたい
CKAF_25,SA,項目,,できるだけ家族そろって食事するのが望ましい,できるだけ家族そろって食事するのが望ましい
CKAF,ﾙｰﾌﾟ(SA),選択肢,1,非常にあてはまる,非常にあてはまる
CKAF,ﾙｰﾌﾟ(SA),選択肢,2,ややあてはまる,ややあてはまる
CKAF,ﾙｰﾌﾟ(SA),選択肢,3,あまりあてはまらない,あまりあてはまらない
CKAF,ﾙｰﾌﾟ(SA),選択肢,4,全くあてはまらない,全くあてはまらない
CKAF,ﾙｰﾌﾟ(SA),選択肢,5,不明,不明
IAAB_E,SA,項目,,（東）通勤通学エリア,あなたが通勤・通学されているエリアは、次のどれにあてはまりますか。複数ある場合は、最もよく行かれるところをお知らせください。
IAAB_E,SA,選択肢,1,千代田区,千代田区
IAAB_E,SA,選択肢,2,中央区,中央区
IAAB_E,SA,選択肢,3,港区,港区
IAAB_E,SA,選択肢,4,新宿区,新宿区
IAAB_E,SA,選択肢,5,文京区,文京区
IAAB_E,SA,選択肢,6,台東区,台東区
IAAB_E,SA,選択肢,7,墨田区,墨田区
IAAB_E,SA,選択肢,8,江東区,江東区
IAAB_E,SA,選択肢,9,品川区,品川区
IAAB_E,SA,選択肢,10,目黒区,目黒区
IAAB_E,SA,選択肢,11,大田区,大田区
IAAB_E,SA,選択肢,12,世田谷区,世田谷区
IAAB_E,SA,選択肢,13,渋谷区,渋谷区
IAAB_E,SA,選択肢,14,中野区,中野区
IAAB_E,SA,選択肢,15,杉並区,杉並区
IAAB_E,SA,選択肢,16,豊島区,豊島区
IAAB_E,SA,選択肢,17,北区,北区
IAAB_E,SA,選択肢,18,荒川区,荒川区
IAAB_E,SA,選択肢,19,板橋区,板橋区
IAAB_E,SA,選択肢,20,練馬区,練馬区
IAAB_E,SA,選択肢,21,足立区,足立区
IAAB_E,SA,選択肢,22,葛飾区,葛飾区
IAAB_E,SA,選択肢,23,江戸川区,江戸川区
IAAB_E,SA,選択肢,24,その他の東京都（市町村部）,その他の東京都（市町村部）
IAAB_E,SA,選択肢,25,横浜市,横浜市
IAAB_E,SA,選択肢,26,川崎市,川崎市
IAAB_E,SA,選択肢,27,その他の神奈川県,その他の神奈川県
IAAB_E,SA,選択肢,28,千葉市,千葉市
IAAB_E,SA,選択肢,29,その他の千葉県,その他の千葉県
IAAB_E,SA,選択肢,30,さいたま市,さいたま市
IAAB_E,SA,選択肢,31,その他の埼玉県,その他の埼玉県
IAAB_E,SA,選択肢,32,水戸市,水戸市
IAAB_E,SA,選択肢,33,その他の茨城県,その他の茨城県
IAAB_E,SA,選択肢,34,宇都宮市,宇都宮市
IAAB_E,SA,選択肢,35,その他の栃木県,その他の栃木県
IAAB_E,SA,選択肢,36,前橋市,前橋市
IAAB_E,SA,選択肢,37,高崎市,高崎市
IAAB_E,SA,選択肢,38,その他の群馬県,その他の群馬県
IAAB_E,SA,選択肢,39,その他の県,その他の県
IAAB_E,SA,選択肢,40,通勤・通学はしていない,通勤・通学はしていない
IAAB_E,SA,選択肢,41,不明,不明
AAF2,数値,項目,,年齢,
AAF2,数値,選択肢,,不明,
AAAA,SA,項目,,職業,あなたご自身の職業について、おうかがいします。以下の各項目の説明文をよくお読みになって、あてはまるものをお知らせください。正社員、契約社員、派遣社員、パート、アルバイトすべて含めてお答えください。最後に、あなたご自身やご家族についておうかがいします。
AAAA,SA,選択肢,1,事務職,事務職 ※会社員・公務員・団体職員・教職員・雇用医などで、事務的職種や法人に対する営業職に従事している正社員、契約社員、派遣社員、パート、アルバイトの人【但し、「管理職」「役員・理事」「専門職・自由業」に該当する人（管理職や経営者、個人経営など）は除きます】
AAAA,SA,選択肢,2,技術職,技術職 ※会社員・公務員・団体職員・教職員・雇用医などで、専門的な技術を用いる職に従事している正社員、契約社員、派遣社員、パート、アルバイトの人【但し、「管理職」「役員・理事」「専門職・自由業」に該当する人（管理職や経営者、個人経営など）は除きます】
AAAA,SA,選択肢,3,サービス職・販売職,サービス職・販売職 ※会社員・公務員・団体職員などで、個人に対するサービスや販売の職種に従事している正社員、契約社員、派遣社員、パート、アルバイトの人【但し、「管理職」「役員・理事」「専門職・自由業」に該当する人（管理職や経営者、個人経営など）は除きます】
AAAA,SA,選択肢,4,労務職,労務職 ※会社員・公務員・団体職員などで、製造・製作や運転・操作、配達、警備などの労務的職種に従事している正社員、契約社員、派遣社員、パート、アルバイトの人【但し、「管理職」「役員・理事」「専門職・自由業」に該当する人（管理職や経営者、個人経営など）は除きます】
AAAA,SA,選択肢,5,管理職,管理職 ※会社員・公務員・団体職員・教職員・雇用医などで、部長以上に相当する管理職の人【但し、「役員・理事」に該当する人（経営者、個人経営など）は除きます】
AAAA,SA,選択肢,6,役員・理事,役員・理事 ※会社・団体の役員・理事以上の役職者従業員31人以上の工場、または、従業員11人以上の商店・飲食店などの経営者
